%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
-0.7051835139665137 -5.512972123256077e-07 -0.19389051921856418
-0.7063218438904073 0.0 -0.19391896638050568
-0.7175799461569135 -0.0019470090968081166 -0.197804557880628
-0.7298789205432819 -0.004822824755526867 -0.2019759628350493
-0.6498800170730359 0.0 -0.17365100577355086
-0.6541613981668348 0.0 -0.17609970440923345
-0.6682720292452196 -0.003564544457589136 -0.18178477260217735
-0.6824082044199837 -0.007273173119616061 -0.18714300128997835
-0.6964968016781832 -0.011042793127877815 -0.1922491170016114
-0.7104997433664373 -0.014849724148989552 -0.19714933188344705
-0.6851767239578344 0.0 -0.18665841621278653
-0.6991617965258161 -0.0035632185989751264 -0.1918145869377551
-0.7130684479599179 -0.0072710306072867326 -0.19672937427656995
-0.6618123579486124 0.0 -0.17799115907061852
-0.5968469445519844 0.0 -0.15900551290688567
-0.5275441345663339 0.0 -0.1426550639519929
-0.5411737972124353 -0.003561707729117458 -0.15073612559876787
-0.5557552286637151 -0.007265312409538538 -0.1579021649545186
-0.5589520328860189 -0.0026520518946853144 -0.15997775121038182
-0.5678287704349927 -0.0017211586806347157 -0.16379552432564942
-0.5840721229453987 -0.005658959262229146 -0.16993707963143853
-0.582268106770897 0.0 -0.168752218416833
-0.598846984465915 -0.0036586089137191635 -0.17459213128730838
-0.6156280416897673 -0.007501051632740285 -0.18012749725794475
-0.6324148476492866 -0.011410937561720402 -0.18541616948897824
-0.6366129585711136 -0.006972805717754937 -0.1855114697023222
-0.6523648212149453 -0.010496851746982117 -0.19034075440141932
-0.6610696077402434 -0.009484464266190429 -0.19223803952699467
-0.6640028548664247 -0.004802915647111661 -0.1918697451090501
-0.6731958548513113 -0.0044995087131827205 -0.19413404369524567
-0.6855437033622724 -0.0065155035849180365 -0.19767085641676518
-0.6881550560086218 -0.002228244164303561 -0.19726373434316097
-0.6967903977063656 -0.002183348424900089 -0.1993918900165861
-0.711556049085992 -0.006431280121367067 -0.2040099325313426
-0.5234507032927791 0.0 -0.14207112309849793
-0.537139525599823 -0.003561707729117458 -0.1504328838750603
-0.5288494322827084 0.0 -0.14990237662060804
-0.5374003287117972 0.0 -0.15461629460643994
-0.5430697830907558 0.0 -0.15767340876348526
-0.5472414682573774 0.0 -0.15980757905053875
-0.5596370871692145 -0.0006342871152487106 -0.1644860483895088
-0.5730060955920351 -0.0019108576085589135 -0.16907124675004356
-0.5877271252163236 -0.004034220375206843 -0.17381329073505217
-0.5852127005124874 0.0 -0.17177629435705874
-0.5983914899231593 -0.0008569468975885286 -0.1758474064232323
-0.6115875551592787 -0.0019168297375582455 -0.17969333829719802
-0.6286864335771813 -0.005780527962471638 -0.1849418237939642
-0.6407809431503271 -0.006418495009601344 -0.18804425701790525
-0.6574152607632389 -0.01032279269066727 -0.19297977982119544
-0.6709613507300194 -0.012399188574788056 -0.1966220993032498
-0.6768582144547786 -0.00961489108778224 -0.19716424731540652
-0.6799849541335075 -0.005196642185136824 -0.19671858562500347
-0.6889153654317077 -0.004850658026473553 -0.19876127857726542
-0.7039239095536036 -0.008772241848577167 -0.20330616188013245
-0.7188093195429914 -0.012820529928058377 -0.2077701419649847
-0.7207536444440636 -0.008503046284884519 -0.2068761231841802
-0.719383329728549 -0.002162821645484314 -0.20484649977905306
-0.7286317908015105 -0.0030980003622929075 -0.20729990301537185
-0.7425805628074711 -0.007337271163018855 -0.21167886052204088
-0.7562789615011605 -0.011565799110792696 -0.21592454423654717
-0.7505813490258957 -0.003192697702095515 -0.21214045533472436
-0.7592337844017099 -0.004403656073330708 -0.21450739716333322
-0.7722923307768603 -0.00865768985178228 -0.21870180494179797
-0.7851088658927496 -0.012893263983713155 -0.22277666233083546
-0.6983998248165051 0.0 -0.1883695711409987
-0.7113668951639394 -0.003561707729131669 -0.193620215706891
